D2/P01_01,8,202,00:00:00.14,00:00:03.37,2
D2/P01_01,766,839,00:00:12.77,00:00:13.99,2
D2/P01_01,915,983,00:00:15.25,00:00:16.40,0
D2/P01_01,990,1083,00:00:16.50,00:00:18.06,0
D2/P01_01,1091,1268,00:00:18.19,00:00:21.14,0
D2/P01_01,1390,1457,00:00:23.18,00:00:24.29,2
D2/P01_01,1468,1676,00:00:24.48,00:00:27.94,0
D2/P01_01,1498,1572,00:00:24.97,00:00:26.20,2
D2/P01_01,2200,2266,00:00:36.68,00:00:37.78,1
D2/P01_01,2507,2553,00:00:41.79,00:00:42.55,2
D2/P01_01,2592,2798,00:00:43.20,00:00:46.64,0
D2/P01_01,2787,2868,00:00:46.45,00:00:47.81,1
D2/P01_01,3099,3180,00:00:51.66,00:00:53.00,2
D2/P01_01,3210,3360,00:00:53.50,00:00:56.00,0
D2/P01_01,3213,3261,00:00:53.55,00:00:54.36,0
D2/P01_01,3283,3344,00:00:54.73,00:00:55.74,1
D2/P01_01,3447,3522,00:00:57.45,00:00:58.70,1
D2/P01_01,3543,3738,00:00:59.05,00:01:02.30,2
D2/P01_01,3711,3913,00:01:01.86,00:01:05.23,4
D2/P01_01,3912,4387,00:01:05.20,00:01:13.13,4
D2/P01_01,4457,4733,00:01:14.29,00:01:18.89,4
D2/P01_01,4739,4967,00:01:18.99,00:01:22.79,4
D2/P01_01,5129,5189,00:01:25.49,00:01:26.49,1
D2/P01_01,5245,5297,00:01:27.43,00:01:28.29,2
D2/P01_01,5551,5645,00:01:32.53,00:01:34.09,0
D2/P01_01,5716,5973,00:01:35.28,00:01:39.56,0
D2/P01_01,6044,6135,00:01:40.74,00:01:42.26,1
D2/P01_01,6246,6313,00:01:44.10,00:01:45.22,0
D2/P01_01,6341,7321,00:01:45.69,00:02:02.03,5
D2/P01_01,7668,8693,00:02:07.80,00:02:24.89,5
D2/P01_01,7859,8747,00:02:10.99,00:02:25.79,5
D2/P01_01,9031,9939,00:02:30.53,00:02:45.65,5
D2/P01_01,9945,10816,00:02:45.75,00:03:00.28,5
D2/P01_01,10822,11634,00:03:00.38,00:03:13.90,5
D2/P01_01,14342,14928,00:03:59.04,00:04:08.81,5
D2/P01_01,15003,15472,00:04:10.05,00:04:17.87,7
D2/P01_01,15903,15986,00:04:25.06,00:04:26.44,2
D2/P01_01,16225,16329,00:04:30.43,00:04:32.16,0
D2/P01_01,16324,16671,00:04:32.08,00:04:37.85,6
D2/P01_01,16776,16881,00:04:39.60,00:04:41.35,0
D2/P01_01,16887,16975,00:04:41.45,00:04:42.93,2
D2/P01_01,16968,17103,00:04:42.80,00:04:45.05,7
D2/P01_01,17109,17207,00:04:45.15,00:04:46.79,1
D2/P01_01,17271,17655,00:04:47.86,00:04:54.25,6
D2/P01_01,17661,17736,00:04:54.35,00:04:55.60,1
D2/P01_01,17742,17982,00:04:55.70,00:04:59.70,0
D2/P01_01,18075,18930,00:05:01.25,00:05:15.50,4
D2/P01_01,18078,18207,00:05:01.30,00:05:03.46,2
D2/P01_01,18213,18929,00:05:03.56,00:05:15.49,4
D2/P01_01,19095,19200,00:05:18.25,00:05:20.00,1
D2/P01_01,19366,19690,00:05:22.78,00:05:28.18,5
D2/P01_01,19696,20284,00:05:28.28,00:05:38.07,5
D2/P01_01,20498,20772,00:05:41.64,00:05:46.21,7
D2/P01_01,20760,20860,00:05:46.01,00:05:47.67,1
D2/P01_01,20839,21227,00:05:47.33,00:05:53.79,0
D2/P01_01,21612,21710,00:06:00.21,00:06:01.84,2
D2/P01_01,21645,21784,00:06:00.76,00:06:03.07,1
D2/P01_01,22040,22100,00:06:07.34,00:06:08.34,0
D2/P01_01,22102,22681,00:06:08.37,00:06:18.03,6
